Metadata_gene_name,Metadata_cell_line,correlation,replicate_type,quantile,iterations,cor_method,samples,groups
MCL1,HCC44,0.2834193087626196,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
MTOR,HCC44,0.3034542452827623,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
MYC,HCC44,0.34363127748619227,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ORC4,HCC44,0.21911395062920944,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PIK3CA,HCC44,0.4506446097014205,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
POLR2D,HCC44,0.14749439873273593,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PPIB,HCC44,0.2213001586653815,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PRDX1,HCC44,0.2784944898464249,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PSMA1,HCC44,0.1893051507456715,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
PTK2,HCC44,0.25457785976656955,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
RAC1,HCC44,0.3751616214468705,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
RAF1,HCC44,0.3873929327642559,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
RHOA,HCC44,0.18665808190134403,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SDHB,HCC44,0.6169923453527416,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SLC2A1,HCC44,0.6702464095354294,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SLC2A2,HCC44,0.8273929127614681,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SMARCB1,HCC44,0.3844770095145599,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
STAT3,HCC44,0.4723773092264156,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
SUZ12,HCC44,0.48486628536400767,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
TXN,HCC44,0.39116459825004457,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
XBP,HCC44,0.29532392533679475,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
YAP1,HCC44,0.26616418626019145,non_replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
